t,des_x,des_y,act_x,act_y,v,omega
22.096431,3.410042,7.327093,3.390651,7.507542,0.734693,-0.250344
22.196391,3.424643,7.258482,3.415924,7.435880,0.712286,-0.280724
22.296431,3.439260,7.189379,3.438668,7.366104,0.705040,-0.297514
22.396433,3.453877,7.119901,3.459089,7.296828,0.705947,-0.298629
22.496395,3.468494,7.050088,3.477281,7.227132,0.709328,-0.287620
22.596401,3.483122,6.979917,3.493432,7.156781,0.713371,-0.265215
22.696409,3.497756,6.909453,3.507247,7.085875,0.718076,-0.227337
22.796408,3.512395,6.838741,3.518736,7.014227,0.720640,-0.178396
22.896452,3.527045,6.767779,3.528134,6.941898,0.720212,-0.122598
22.996415,3.541689,6.696693,3.535864,6.869060,0.716583,-0.065430
23.096422,3.556345,6.625432,3.542662,6.796098,0.712147,-0.012643
23.196382,3.571000,6.554095,3.549004,6.723534,0.709555,0.037914
23.296372,3.585665,6.482665,3.555281,6.651299,0.708980,0.083501
23.396440,3.600347,6.411144,3.559627,6.603240,0.800000,0.107509
23.496435,3.615024,6.339676,3.566550,6.527713,0.800000,0.163203
23.596399,3.629702,6.268269,3.573204,6.446675,0.763202,0.200848
23.696395,3.644390,6.196912,3.581104,6.367888,0.735275,0.232676
23.796396,3.659085,6.125662,3.590249,6.292425,0.722953,0.249067
23.896384,3.673783,6.054570,3.600887,6.218976,0.719330,0.251096
23.996386,3.688490,5.983650,3.613216,6.146589,0.719240,0.240486
24.096385,3.703202,5.912953,3.627354,6.074675,0.718619,0.221333
24.196431,3.717926,5.842480,3.643221,6.003175,0.716684,0.194853
24.296432,3.732650,5.772332,3.660636,5.932197,0.713187,0.162211
24.396375,3.747371,5.702555,3.679350,5.861854,0.708406,0.125017
24.496387,3.762108,5.633095,3.699066,5.792236,0.703265,0.084790
24.596432,3.776856,5.564016,3.719485,5.723341,0.697975,0.043536
24.696436,3.791604,5.495405,3.740292,5.655117,0.692565,0.003359
24.796436,3.806357,5.427272,3.754235,5.609967,0.792263,-0.033695
24.896417,3.821113,5.359664,3.776960,5.537502,0.760890,-0.079519
